id,quran_ayas_id,quran_ayas_languages_code,number,text
ENAA38,QA38,ENAA,38,"Then He gave Adam knowledge of the nature and reality of all things and everything, and set them before the angels and said: ""Tell Me the names of these if you are truthful."""
ENAA39,QA39,ENAA,39,"And they said: ""Glory to You (O Lord), knowledge we have none except what You have given us, for You are all-knowing and all-wise."""
ENAA40,QA40,ENAA,40,"Then He said to Adam: ""Convey to them their names."" And when he had told them, God said: ""Did I not tell you that I know the unknown of the heavens and the earth, and I know what you disclose and know what you hide?"""
ENAA41,QA41,ENAA,41,"Remember, when We asked the angels to bow in homage to Adam, they all bowed but Iblis, who disdained and turned insolent, and so became a disbeliever."
ENAA42,QA42,ENAA,42,"And We said to Adam: ""Both you and your spouse live in the Garden, eat freely to your fill wherever you like, but approach not this tree or you will become transgressors."
ENAA43,QA43,ENAA,43,"But Satan tempted them and had them banished from the (happy) state they were in. And We said: ""Go, one the antagonist of the other, and live on the earth for a time ordained, and fend for yourselves."""
ENAA44,QA44,ENAA,44,Then his Lord sent commands to Adam and turned towards him: Indeed He is compassionate and kind.
ENAA45,QA45,ENAA,45,"And We said to them: ""Go, all of you. When I send guidance, whoever follows it will neither have fear nor regret;"
ENAA46,QA46,ENAA,46,"But those who deny and reject Our signs will belong to Hell, and there abide unchanged."""
ENAA47,QA47,ENAA,47,"O children of Israel, remember the favours I bestowed on you. So keep your pledge to Me, and I will mine to you, and be fearful of Me,"
ENAA48,QA48,ENAA,48,"And believe in what I have sent down which verifies what is already with you; and do not be the first to deny it, nor part with it for little gain; and beware of Me."
ENAA49,QA49,ENAA,49,"Do not confuse truth with falsehood, nor conceal the truth knowingly."
ENAA50,QA50,ENAA,50,"Be firm in devotion; give zakat (the due share of your wealth for the welfare of others), and bow with those who bow (before God)."
ENAA51,QA51,ENAA,51,"Will you enjoin good deeds on the others and forget your own selves? You also read the Scriptures, why do you then not understand?"
ENAA52,QA52,ENAA,52,"Find strength in fortitude and prayer, which is heavy and exacting but for those who are humble and meek,"
ENAA53,QA53,ENAA,53,"Who are conscious that they have to meet their Lord, and to Him they have to return."
ENAA54,QA54,ENAA,54,"Remember, O children of Israel, the favours I bestowed on you, and made you exalted among the nations of the world."
ENAA55,QA55,ENAA,55,"Take heed of the day when no man will be useful to man in the least, when no intercession matter nor ransom avail, nor help reach them."
ENAA56,QA56,ENAA,56,"Remember, We saved you from the Pharaoh's people who wronged and oppressed you and slew your sons but spared your women: In this was a great favour from your Lord."
ENAA57,QA57,ENAA,57,"Remember, We parted the sea and saved you, and drowned the men of Pharaoh before your very eyes."
ENAA58,QA58,ENAA,58,"Yet, remember, as We communed with Moses for forty nights you took the calf in his absence (and worshipped it), and you did wrong."
ENAA59,QA59,ENAA,59,"Even so, We pardoned you that you may be grateful."
ENAA60,QA60,ENAA,60,"Remember, We gave Moses the Book and Discernment of falsehood and truth, that you may be guided."
ENAA61,QA61,ENAA,61,"Remember, Moses said: ""My people, by taking this calf you have done yourselves harm, so now turn to your Creator in repentance, and kill your pride, which is better with your Lord."" And (the Lord) softened towards you, for He is all-forgiving and merciful."
ENAA62,QA62,ENAA,62,"Remember, when you said to Moses: ""We shall not believe in you until we see God face to face,"" lightning struck you as you looked."
ENAA63,QA63,ENAA,63,Even then We revived you after you had become senseless that you might give thanks;
ENAA64,QA64,ENAA,64,"And made the cloud spread shade over you, and sent for you manna and quails that you may eat of the good things We have made for you. No harm was done to Us, they only harmed themselves."
ENAA65,QA65,ENAA,65,"And remember, We said to you: ""Enter this city, eat wherever you like, as much as you please, but pass through the gates in humility and say: 'May our sins be forgiven.' We shall forgive your trespasses and give those who do good abundance."
ENAA66,QA66,ENAA,66,"But the wicked changed and perverted the word We had spoken to a word distorted, and We sent from heaven retribution on the wicked, for they disobeyed."
ENAA67,QA67,ENAA,67,"And remember, when Moses asked for water for his people, We told him to strike the rock with his staff, and behold, twelve springs of gushing water gushed forth so that each of the tribes came to know its place of drinking. Eat and drink, (enjoy) God's gifts, and spread no discord in the land."
ENAA68,QA68,ENAA,68,"Remember, when you said: ""O Moses, we are tired of eating the same food (day after day), ask your Lord to give us fruits of the earth, herbs and cucumbers, grains and lentils and onions;"" he said: ""Would you rather exchange what is good with what is bad? Go then to the city, you shall have what you ask."" So they were disgraced and became indigent, earning the anger of God, for they disbelieved the word of God, and slayed the prophets unjustly, for they transgressed and rebelled."
ENAA69,QA69,ENAA,69,"Surely the believers and the Jews, Nazareans and the Sabians, whoever believes in God and the Last Day, and whosoever does right, shall have his reward with his Lord and will neither have fear nor regret."
ENAA70,QA70,ENAA,70,"Remember the day We made the covenant with you and exalted you on the Mount and said: ""Hold fast to what We have given you, and remember what is therein that you may take heed."""
ENAA71,QA71,ENAA,71,"But you went back (on your word), and but for the mercy and grace of God you were lost."
ENAA72,QA72,ENAA,72,"You know and have known already those among you who had broken the sanctity of the Sabbath, and to whom We had said: ""Become (like) apes despised,"""
ENAA73,QA73,ENAA,73,"And whom We made an example for the people (of the day) and those after them, and warning for those who fear God."
ENAA74,QA74,ENAA,74,"Remember, when Moses said to his people: ""God demands that you sacrifice a cow,"" they said: ""Are you making fun of us?"" And he said: ""God forbid that I be of the ignorant."""
ENAA75,QA75,ENAA,75,"""Call on your Lord for us,"" they said, ""that He might inform us what kind she should be."" ""Neither old nor young, says God, but of age in between,"" answered Moses. ""So do as you are bid."""
ENAA76,QA76,ENAA,76,"""Call on your Lord,"" they said, ""to tell us the colour of the cow."" ""God says,"" answered Moses, ""a fawn coloured cow, rich yellow, well pleasing to the eye."""
ENAA77,QA77,ENAA,77,"""Call on your Lord,"" they said, ""to name its variety, as cows be all alike to us. If God wills we shall be guided aright."""
ENAA78,QA78,ENAA,78,"And Moses said: ""He says it's a cow unyoked, nor worn out by ploughing or watering the fields, one in good shape with no mark or blemish."" ""Now have you brought us the truth,"" they said; and then, after wavering, they sacrificed the cow."
ENAA79,QA79,ENAA,79,"Remember when you killed a man and blamed each other for the deed, God brought to light what you concealed."
ENAA80,QA80,ENAA,80,"We had pronounced already: ""Slay (the murderer) for (taking a life)."" Thus God preserves life from death and shows you His signs that you may understand."
ENAA81,QA81,ENAA,81,"Yet, in spite of this, your hearts only hardened like rocks or even harder, but among rocks are those from which rivers flow; and there are also those which split open and water gushes forth; as well as those that roll down for fear of God. And God is not negligent of all that you do."
ENAA82,QA82,ENAA,82,"How do you expect them to put their faith in you, when you know that some among them heard the word of God and, having understood, perverted it knowingly?"
ENAA83,QA83,ENAA,83,"For when they meet the faithful, they say: ""We believe;"" but when among themselves, they say: ""Why do you tell them what the Lord has revealed to you? They will only dispute it in the presence of your Lord. Have you no sense indeed?"""
ENAA84,QA84,ENAA,84,Do they not know that God is aware of what they hide and what they disclose?
ENAA85,QA85,ENAA,85,"Among them are heathens who know nothing of the Book but only what they wish to believe, and are only lost in fantasies."
ENAA86,QA86,ENAA,86,"But woe to them who fake the Scriptures and say: ""This is from God,"" so that they might earn some profit thereby; and woe to them for what they fake, and woe to them for what they earn from it!"
ENAA87,QA87,ENAA,87,"Yet they say: ""The Fire will not touch us for more than a few days."" Say.. ""Have you so received a promise from God?"" ""Then surely God will not withdraw His pledge. Or do you impute things to God of which you have no knowledge at all?"""
ENAA88,QA88,ENAA,88,"Why, they who have earned the wages of sin and are enclosed in error, are people of Hell, where they will abide for ever."
ENAA89,QA89,ENAA,89,"But those who believe and do good deeds are people of Paradise, and shall live there forever."
ENAA90,QA90,ENAA,90,"Remember, when We made a covenant with the people of Israel and said: ""Worship no one but God, and be good to your parents and your kin, and to orphans and the needy, and speak of goodness to men; observe your devotional obligations, and give zakat (the due share of your wealth for the welfare of others),"" you went back (on your word), except only a few, and paid no heed."
ENAA91,QA91,ENAA,91,"And remember, when We made a covenant with you whereby you agreed you will neither shed blood among you nor turn your people out of their homes, you promised, and are witness to it too."
ENAA92,QA92,ENAA,92,"But you still kill one another, and you turn a section of your people from their homes, assisting one another against them with guilt and oppression. Yet when they are brought to you as captives you ransom them, although forbidden it was to drive them away. Do you, then, believe a part of the Book and reject a part? There is no other award for them who so act but disgrace in the world, and on the Day of Judgement the severest of punishment; for God is not heedless of all that you do."
ENAA93,QA93,ENAA,93,They are those who bought the life of the world at the cost of the life to come; and neither will their torment decrease nor help reach them.
ENAA94,QA94,ENAA,94,"Remember We gave Moses the Book and sent after him many an apostle; and to Jesus, son of Mary, We gave clear evidence of the truth, reinforcing him with divine grace. Even so, when a messenger brought to you what did not suit your mood you turned haughty, and called some imposters and some others you slew."
ENAA95,QA95,ENAA,95,"And they say: ""Our hearts are enfolded in covers."" In fact God has cursed them for their unbelief; and only a little do they believe."
ENAA96,QA96,ENAA,96,"And when the Book was sent to them by God verifying what had been revealed to them already even though before it they used to pray for victory over the unbelievers and even though they recognised it when it came to them, they renounced it. The curse of God be on those who deny!"
ENAA97,QA97,ENAA,97,"They bartered their lives ill denying the revelation of God out of spite that God should bestow His grace among His votaries on whomsoever He will, and thus earned wrath upon wrath. The punishment for disbelievers is ignominious."
ENAA98,QA98,ENAA,98,"And when it is said to them: ""believe in what God has sent down,"" they say: ""We believe what was sent to us, and do not believe what has come thereafter,"" although it affirms the truth they possess already. Say: ""Why have you then been slaying God's apostles as of old, if you do believe?"""
ENAA99,QA99,ENAA,99,"Although Moses had come to you with evidence of the truth, you chose the calf in his absence, and you transgressed."
ENAA100,QA100,ENAA,100,"Remember when We took your pledge and exalted you on the Mount (saying:) ""Hold fast to what We have given you, firmly, and pay heed,"" you said: ""We have heard and will not obey."" (The image of) the calf had sunk deep into their hearts on account of unbelief. Say: ""Vile is your belief if you are believers indeed!"""
ENAA101,QA101,ENAA,101,"Tell them: ""If you think you alone will abide with God to the exclusion of the rest of Mankind, in the mansions of the world to come, then wish for death if what you say is true."""
ENAA102,QA102,ENAA,102,But they will surely not wish for death because of what they had done in the past; and God knows the sinners well.
ENAA103,QA103,ENAA,103,"You will see they are covetous of life more than other men, even more than those who practise idolatry. Each one of them desires to live a thousand years, although longevity will never save them from punishment, for God sees all they do."
ENAA104,QA104,ENAA,104,"Say: ""Whosoever is the enemy of Gabriel who revealed the word of God to you by the dispensation of God, reaffirming what had been revealed before, and is a guidance and good news for those who believe, --"
ENAA105,QA105,ENAA,105,"Whosoever is the enemy of God and His angels and apostles, and of Gabriel and Michael, then God is the enemy of such unbelievers."""
ENAA106,QA106,ENAA,106,"We have sent clear signs to you, such as none can deny except those who transgress the truth."
ENAA107,QA107,ENAA,107,"And every time they made a pledge some of them pushed it aside, and many of them do not believe."
ENAA108,QA108,ENAA,108,"When a messenger was sent to them by God affirming the Books they had already received, some of them put (His message) behind their backs as if they had no knowledge of it."
ENAA109,QA109,ENAA,109,"And they follow what devilish beings used to chant against the authority of Solomon, though Solomon never disbelieved and only the devils denied, who taught sorcery to men, which, they said, had been revealed to the angels of Babylon, Harut and Marut, who, however, never taught it without saying: ""We have been sent to deceive you, so do not renounce (your faith)."" They learnt what led to discord between husband and wife. Yet they could not harm any one or without the dispensation of God. And they learnt what harmed them and brought no gain. They knew indeed whoever bought this had no place in the world to come, and that surely they had sold themselves for something that was vile. If only they had sense!"
ENAA110,QA110,ENAA,110,"Had they come to believe instead, and taken heed for themselves, they would surely have earned from God a far better reward. If only they had sense!"
ENAA111,QA111,ENAA,111,"Say not (to the Prophet), O Believers: ""Have regard for us (ra'ina),"" but ""look at us (unzurna),"" and obey him in what he says. Painful is the nemesis for disbelievers."
ENAA112,QA112,ENAA,112,"Those without faith among the people of the Book, and those who worship idols, do not wish that good should come to you from your Lord. But God chooses whom He likes for His grace; and the bounty of God is infinite."
ENAA113,QA113,ENAA,113,"When We cancel a message (sent to an earlier prophet) or throw it into oblivion, We replace it with one better or one similar. Do you not know that God has power over all things?"
ENAA114,QA114,ENAA,114,"Do you not know that God's is the kingdom of the heavens and the earth, and that there is none to save and protect you apart from God?"
ENAA115,QA115,ENAA,115,"Do you too, O believers, wish to question your Apostle as Moses was in the past? But he who takes unbelief in exchange for belief only strays from the right path."
ENAA116,QA116,ENAA,116,"How many of the followers of the Books having once known the truth desire in their hearts, out of envy, to turn you into infidels again even after the truth has become clear to them! But you forbear and overlook till God fulfil His plan; and God has power over all things."
ENAA117,QA117,ENAA,117,"Fulfil your devotional obligations and pay the zakat. And what you send ahead of good you will find with God, for He sees all that you do ill."
ENAA118,QA118,ENAA,118,"And they say: ""None will go to Paradise but the Jews and the Christians;"" but this is only wishful thinking. Say: ""Bring the proof if you are truthful."""
ENAA119,QA119,ENAA,119,"Only he who surrenders to God with all his heart and also does good, will find his reward with his Lord, and will have no fear or regret."
ENAA120,QA120,ENAA,120,"The Jews say: ""The Christians are not right,"" and the Christians say: ""The Jews are in the wrong;"" yet both read the Scriptures; and this is what the unread had said too. God alone will judge between them in their differences on the Day of Reckoning."
ENAA121,QA121,ENAA,121,"And who is more unjust than he who prohibits the name of God being used in His mosques, who hurries to despoil them even though he has no right to enter them except in reverence? For them is ignominy in the world and severe punishment in the life to come."
ENAA122,QA122,ENAA,122,To God belong the East and the West. Wherever you turn the glory of God is everywhere: All-pervading is He and all-knowing.
ENAA123,QA123,ENAA,123,"Yet they say that God has begotten a son. May He be praised! Indeed everything in the heavens and the earth belongs to Him, and all are obedient to God."
ENAA124,QA124,ENAA,124,"Creator of the heavens and the earth from nothingness, He has only to say when He wills a thing: ""Be"", and it is."
ENAA125,QA125,ENAA,125,"But those who are ignorant say: ""Why does God not speak or show us a sign?"" The same question had been asked by men before them, who were like them in their hearts. But to those who are firm in their faith We have shown Our signs already."
ENAA126,QA126,ENAA,126,And We have sent you with the truth to give glad tidings and to warn. You will not be questioned about those and who are inmates of Hell.
ENAA127,QA127,ENAA,127,"The Jews and Christians will never be pleased with you until you follow their way. Say: ""God's guidance alone is true guidance;"" for if you give in to their wishes after having received the (Book of) knowledge from God, then none will you have as friend or helper to save you."
ENAA128,QA128,ENAA,128,"Those to whom We have sent down the Book, and who read it as it should be read, believe in it truly; but those who deny it will be losers."
ENAA129,QA129,ENAA,129,"O children of Israel, remember the favours I bestowed on you, and made you exalted among the nations of the world."
ENAA130,QA130,ENAA,130,"Fear the day when no man will stand up for man in the least, and no ransom avail nor intercession matter nor help reach."
ENAA131,QA131,ENAA,131,"Remember, when his Lord tried Abraham by a number of commands which he fulfilled, God said to him: ""I will make you a leader among men."" And when Abraham asked: ""From my progeny too?"" the Lord said: ""My pledge does not include transgressors."""
ENAA132,QA132,ENAA,132,"Remember, We made the House (of Ka'bah) a place of congregation and safe retreat, and said: ""Make the spot where Abraham stood the place of worship;"" and enjoined upon Abraham and Ishmael to keep Our House immaculate for those who shall walk around it and stay in it for contemplation and prayer, and for bowing in adoration."
ENAA133,QA133,ENAA,133,"And when Abraham said: ""O Lord, make this a city of peace, and give those of its citizens who believe in God and the Last Day fruits for food,"" He answered: ""To those will I also give a little who believe not, for a time, then drag them to Hell, a dreadful destination!"""
ENAA134,QA134,ENAA,134,"And when Abraham was raising the plinth of the House with Ishmael, (he prayed): ""Accept this from us, O Lord, for You hear and know everything;"
ENAA135,QA135,ENAA,135,"And make us submit, O Lord, to Your will, and our progeny a people submissive to You. Teach us the way of worship and forgive our trespasses, for You are compassionate and merciful;"
ENAA136,QA136,ENAA,136,"And send to them, O Lord, an apostle from among them to impart Your messages to them, and teach them the Book and the wisdom, and correct them in every way; for indeed You are mighty and wise."
ENAA137,QA137,ENAA,137,"Who will turn away from the creed of Abraham but one dull of soul? We made him the chosen one here in the world, and one of the best in the world to come,"
ENAA138,QA138,ENAA,138,"(For) when his Lord said to him: ""Obey,"" he replied: ""I submit to the Lord of all the worlds."""
ENAA139,QA139,ENAA,139,"And Abraham left this legacy to his sons, and to Jacob, and said: ""O my sons, God has chosen this as the faith for you. Do not die but as those who have submitted (to God)."""
ENAA140,QA140,ENAA,140,"Were you present at the hour of Jacob's death? ""What will you worship after me?"" he asked his sons, and they answered: ""We shall worship your God and the God of your fathers, of Abraham and Ishmael and Isaac, the one and only God; and to Him we submit."""
ENAA141,QA141,ENAA,141,"Those were the people, and they have passed away. Theirs the reward for what they did, as yours will be for what you do. You will not be questioned about their deeds."
ENAA142,QA142,ENAA,142,"They say: ""Become Jews or become Christians, and find the right way."" Say: ""No. We follow the way of Abraham the upright, who was not an idolater."""
ENAA143,QA143,ENAA,143,"Say: ""We believe in God and what has been sent down to us, and what had been revealed to Abraham and Ishmael and Isaac and Jacob and their progeny, and that which was given to Moses and Christ, and to all other prophets by the Lord. We make no distinction among them, and we submit to Him."""
ENAA144,QA144,ENAA,144,"If they come to believe as you did, they will find the right path. If they turn away then they will only oppose; but God will suffice you against them, for God hears all and knows everything."
ENAA145,QA145,ENAA,145,"""We have taken the colouring of God; and whose shade is better than God's? Him alone we worship."""
ENAA146,QA146,ENAA,146,"Say: ""Why do you dispute with us about God when He is equally your Lord and our Lord? To us belong our actions, to you yours; and we are true to Him."""
ENAA147,QA147,ENAA,147,"Or do you claim that Abraham and Ishmael and Isaac and Jacob and their offspring were Jews or Christians? Say: ""Have you more knowledge than God?"" Who is more wicked than he who conceals the testimony he received from God? God is not unaware of all you do."
ENAA148,QA148,ENAA,148,"They were the people, and they have passed away. Theirs the reward for what they did, as yours will be for what you do. You will not be questioned about their deeds."
ENAA149,QA149,ENAA,149,"The foolish will now ask and say: ""What has made the faithful turn away from the Qiblah towards which they used to pray?"" Say: ""To God belong the East and the West. He guides who so wills to the path that is straight."""
ENAA150,QA150,ENAA,150,"We have made you a temperate people that you act as witness over man, and the Prophet as witness over you. We decreed the Qiblah which you faced before that We may know who follow the Apostle and who turn away in haste. And this was a hard (test) except for those who were guided by God. But God will not suffer your faith to go waste, for God is to men full of mercy and grace."
ENAA151,QA151,ENAA,151,"We have seen you turn your face to the heavens. We shall turn you to a Qiblah that will please you. So turn towards the Holy Mosque, and turn towards it wherever you be. And those who are recipients of the Book surely know that this is the truth from their Lord; and God is not negligent of all that you do."
ENAA152,QA152,ENAA,152,"Even though you bring all the proof to the people of the Book they will not face the direction you turn to, nor you theirs, nor will they follow each other's direction. And if you follow their whims after all the knowledge that has reached you, then surely you will be among transgressors."
ENAA153,QA153,ENAA,153,Those to whom We have sent down the Book know this even as they know their sons. Yet a section among them conceals the truth knowingly.
ENAA154,QA154,ENAA,154,"The truth is from your Lord, so be not among those who are sceptics."
ENAA155,QA155,ENAA,155,Each has a goal to which he turns. So strive towards piety and excel the others: God will bring you all together wheresoever you be. God has power over everything.
ENAA156,QA156,ENAA,156,Wherever you come from turn towards the Holy Mosque: This in truth is from your Lord. God is not negligent of all you do.
ENAA157,QA157,ENAA,157,"Whichever place you come from turn towards the Holy Mosque, and wherever you are, turn your faces towards it so that people may have no cause for argument against you, except such among them as are wicked. But do not fear them, fear Me that I may accomplish My favours on you, and you may find the right way perchance."
ENAA158,QA158,ENAA,158,"Even as We sent a messenger from among you to convey Our messages to you and cleanse you, and teach you the Book and the wisdom, and what you did not know;"
ENAA159,QA159,ENAA,159,"So, therefore, remember Me, and I shall remember you; and give thanks and do not be ungrateful."
ENAA160,QA160,ENAA,160,"O you who believe, seek courage in fortitude and prayer, for God is with those who are patient and persevere."
ENAA161,QA161,ENAA,161,"Do not say that those who are killed in the way of God, are dead, for indeed they are alive, even though you are not aware."
ENAA162,QA162,ENAA,162,"Be sure We shall try you with something of fear and hunger and loss of wealth and life and the fruits (of your labour); but give tidings of happiness to those who have patience,"
ENAA163,QA163,ENAA,163,"Who say when assailed by adversity: ""Surely we are for God, and to Him we shall return."""
ENAA164,QA164,ENAA,164,"On such men are the blessings of God and His mercy, for they are indeed on the right path."
ENAA165,QA165,ENAA,165,"Truly Safa and Marwa are the symbols of God. Whoever goes on pilgrimage to the House (of God), or on a holy visit, is not guilty of wrong if he walk around them; and he who does good of his own accord will find appreciation with God who knows everything."
ENAA166,QA166,ENAA,166,"They who conceal Our signs and the guidance We have sent them and have made clear in the Book, are condemned of God and are condemned by those who are worthy of condemning."
ENAA167,QA167,ENAA,167,"But those who repent and reform and proclaim (the truth), are forgiven, for I am forgiving and merciful."
ENAA168,QA168,ENAA,168,"But those who deny, and die disbelieving, bear the condemnation of God and the angels and that of all men,"
ENAA169,QA169,ENAA,169,"Under which they will live, and their suffering will neither decrease nor be respite for them."
ENAA170,QA170,ENAA,170,"Your God is one God; there is no god other than He, the compassionate, ever-merciful."
ENAA171,QA171,ENAA,171,"Creation of the heavens and the earth, alternation of night and day, and sailing of ships across the ocean with what is useful to man, and the rain that God sends from the sky enlivening the earth that was dead, and the scattering of beasts of all kinds upon it, and the changing of the winds, and the clouds which remain obedient between earth and sky, are surely signs for the wise."
ENAA172,QA172,ENAA,172,"And yet there are men who take others as compeers of God, and bestow on them love due to God; but the love of the faithful for God is more intense. If only the wicked could see now the agony that they will behold (on the Day of Resurrection), they will know that to God belongs the power entirely'. And the punishment of God is severe."
ENAA173,QA173,ENAA,173,"When those who were followed will disclaim those who followed them, and see the torment all ties between them shall be severed,"
ENAA174,QA174,ENAA,174,"And the followers will say: ""Could we live but once again we would leave them as they have abandoned us now."" God will show them thus their deeds, and fill them with remorse; but never shall they find release from the Fire."
ENAA175,QA175,ENAA,175,"O men, eat only the things of the earth that are lawful and good. Do not walk in the footsteps of Satan, your acknowledged enemy."
ENAA176,QA176,ENAA,176,"He will ask you to indulge in evil, indecency, and to speak lies of God you cannot even conceive."
ENAA177,QA177,ENAA,177,"When it is said to them: ""Follow what God has revealed,"" they reply: ""No, we shall follow only what our fathers had practiced,"" -- even though their fathers had no wisdom or guidance!"
ENAA178,QA178,ENAA,178,"The semblance of the infidels is that of a man who shouts to one that cannot hear more than a call and a cry. They are deaf, dumb and blind, and they fail to understand."
ENAA179,QA179,ENAA,179,"O believers, eat what is good of the food We have given you, and be grateful to God, if indeed you are obedient to Him."
ENAA180,QA180,ENAA,180,"Forbidden to you are carrion and blood, and the flesh of the swine, and that which has been consecrated (or killed) in the name of any other than God. If one is obliged by necessity to eat it without intending to transgress, or reverting to it, he is not guilty of sin; for God is forgiving and kind."
ENAA181,QA181,ENAA,181,"Those who conceal any part of the Scriptures that God has revealed, and thus make a little profit thereby, take nothing but fire as food; and God will not turn to them on the Day of Resurrection, nor nourish them for growth; and their doom will be painful."
ENAA182,QA182,ENAA,182,"They are those who bartered away good guidance for error, and pardon for punishment: How great is their striving for the Fire"
ENAA183,QA183,ENAA,183,That is because God has revealed the Book containing the truth; but those who are at variance about it have gone astray in their contrariness.
ENAA184,QA184,ENAA,184,"Piety does not lie in turning your face to East or West: Piety lies in believing in God, the Last Day and the angels, the Scriptures and the prophets, and disbursing your wealth out of love for God among your kin and the orphans, the wayfarers and mendicants, freeing the slaves, observing your devotional obligations, and in paying the zakat and fulfilling a pledge you have given, and being patient in hardship, adversity, and times of peril. These are the men who affirm the truth, and they are those who follow the straight path."
ENAA185,QA185,ENAA,185,"O believers, ordained for you is retribution for the murdered, (whether) a free man (is guilty) of (the murder of) a free man, or a slave of a slave, or a woman of a woman. But he who is pardoned some of it by his brother should be dealt with equity, and recompense (for blood) paid with a grace. This is a concession from your Lord and a kindness. He who transgresses in spite of it shall suffer painful punishment."
ENAA186,QA186,ENAA,186,"In retribution there is life (and preservation). O men of sense, you may haply take heed for yourselves."
ENAA187,QA187,ENAA,187,"It is ordained that when any one of you nears death, and he owns goods and chattels, he should bequeath them equitably to his parents and next of kin. This is binding on those who are upright and fear God."
