id,quran_ayas_id,quran_ayas_languages_code,number,text
URAA37,QA37,URAA,37,اور جب تیرے رب نے فرشتوں سے کہا میں زمین میں ایک نائب بنانے والا ہوں فرشتوں نے کہا کیا تو زمین میں ایسے شخص کو نائب بنانا چاہتا ہے جو فساد پھیلائے اور خون بہائے حالانکہ ہم تیری حمد کے ساتھ تسبیح بیان کرتے اور تیری پاکی بیان کرتے ہیں فرمایا میں جو کچھ جانتا ہوں وہ تم نہیں جانتے
URAA38,QA38,URAA,38,اور الله نے آدم کو سب چیزوں کے نام سکھائے پھر ان سب چیزوں کو فرشتوں کے سامنے پیش کیا پھر فرمایا مجھے ان کے نام بتاؤ اگر تم سچے ہو
URAA39,QA39,URAA,39,انہوں نے کہا تو پاک ہے ہم تو اتنا ہی جانتے ہیں جتنا تو نے ہمیں بتایاہے بے شک تو بڑے علم والا حکمت والا ہے
URAA40,QA40,URAA,40,فرمایا اے آدم ان چیزو ں کے نام بتا دو پھر جب آدم نے انہیں ان کے نام بتا دیئے فرمایا کیا میں نے تمہیں نہیں کہا تھا کہ میں آسمانوں اور زمین کی چھپی ہوئی چیزیں جانتا ہوں اور جو تم ظاہر کرتے ہو اور جو چھپاتے ہو اسے بھی جانتا ہوں
URAA41,QA41,URAA,41,اورجب ہم نے فرشتوں سے کہا کہ آدم کو سجدہ کرو تو انہوں نے سجدہ کیا مگر ابلیس کہ اس نے انکار کیا اورتکبر کیا اورکافروں میں سے ہو گیا
URAA42,QA42,URAA,42,اور ہم نے کہا اے آدم تم اور تمہاری بیوی جنت میں جا کر رہو اور اس میں جو چاہو اور جہاں سےچاہو کھاؤ اور اس درخت کے نزدیک نہ جاؤ پھر ظالموں میں سے ہو جاؤ گے
URAA43,QA43,URAA,43,پھر شیطان نے ان کو وہاں سے ڈگمگایا پھر انہیں اس عزت و راحت سے نکالا کہ جس میں تھے اور ہم نے کہا تم سب اترو کہ تم ایک دوسرے کے دشمن ہو اور تمہارے لیے زمین میں ٹھکانا ہے اور سامان ایک وقت معین تک
URAA44,QA44,URAA,44,پھر آدم نے اپنے رب سے چند کلمات حاصل کیے پھر اس کی توبہ قبول فرمائی بے شک وہ توبہ قبول کرنے والا مہربان ہے
URAA45,QA45,URAA,45,ہم نے کہا کہ تم سب یہاں سے نیچے اتر جاؤ پھر اگرتمہارے پاس میری طرف سے کوئی ہدایت آئے پس جو میری ہدایت پر چلیں گے ان پرنہ کچھ خوف ہوگا اور نہ وہ غمگین ہوں گے
URAA46,QA46,URAA,46,اور جو انکار کریں گے اور ہماری آیتوں کو جھٹلائیں گے وہی دوزخی ہو ں گے جو اس میں ہمیشہ رہی گے
URAA47,QA47,URAA,47,اے بنی اسرائل میرے احسان یاد کرو جو میں نے تم پر کئے اور تم میرا عہد پورا کرو میں تمہارا عہد پورا کروں گا اور مجھ ہی سے ڈرا کرو
URAA48,QA48,URAA,48,اور اس کتاب پر ایمان لاؤ جو میں نے نازل کی تصدیق کرتی ہے اس کی جو تمہارے پاس ہے اور تم ہی سب سے پہلے اس کےمنکر نہ بنو اور میری آیتو ں کو تھوڑی قیمت پر نہ بیچو اور مجھ ہی سے ڈرو
URAA49,QA49,URAA,49,اور سچ میں جھوٹ نہ ملاؤ اور جان بوجھ کر حق کو نہ چھپاؤ
URAA50,QA50,URAA,50,اورنماز قائم کرو اوزکوةٰ دو اور رکوع کرنے والوں کے ساتھ رکوع کرو
URAA51,QA51,URAA,51,کیا لوگوں کو تم نیکی کا حکم کرتے ہو اور اپنے آپ کو بھول جاتے ہو حالانکہ تم کتاب پڑھتے ہو پھر کیوں نہیں سمجھتے
URAA52,QA52,URAA,52,اور صبر کرنے اور نماز پڑھنے سےمدد لیا کرو اوربے شک نماز مشکل ہے مگر ان پر جو عاجزی کرنے والے ہیں
URAA53,QA53,URAA,53,جو یہ سمجھتے ہیں کہ ہمیں ضرور اپنے رب سے ملنا ہے اور ہمیں اس کے پاس لوٹ کر جانا ہے
URAA54,QA54,URAA,54,اے بنی اسرائیل میری ان نعمتوں کو یاد کرو جو میں نے تمہیں دی تھیں اور میں نے تمہیں جہان پر فضیلت دی تھی
URAA55,QA55,URAA,55,اوراس دن سے ڈرو جس دن کوئی شخص کسی کے کچھ بھی کام نہ آئے گا اور نہ ان کے لیے کوئی سفارش قبول ہو گی اورنہ اس کی طرف سے بدلہ لیا جائے گا اور نہ ان کی مدد کی جائے گی
URAA56,QA56,URAA,56,اور جب ہم نے تمہیں فرعونیوں سے نجات دی و ہ تمہیں بری طرح عذاب دیا کرتے تھے تمہارے بیٹوں کو ذبح کرتے تھے اور تمہاری بیٹیوں کو زندہ رکھتے تھے اور اس میں تمہارے رب کی طرف سے تمہاری بڑی آزمائش تھی
URAA57,QA57,URAA,57,اور جب ہم نے تمہارے لیے سمندر کو پھاڑ دیا پھر تمہیں تو بچا لیا اور تمہارے دیکھتے دیکھتے فرعوینوں کو ڈبو دیا
URAA58,QA58,URAA,58,اورجب ہم نے موسیٰ سے چالیس رات کا وعدہ کیا پھر اس کے بعد تم نے بچھڑا بنا لیا حالانکہ تم ظالم تھے
URAA59,QA59,URAA,59,پھر اس کے بعدبھی ہم نے تمہیں معاف کر دیا تاکہ تم شکر کرو
URAA60,QA60,URAA,60,اورجب ہم نے موسیٰ کو کتاب اورقانون فیصل دیا تاکہ تم ہدایت پاؤ
URAA61,QA61,URAA,61,اور جب موسیٰ نے اپنی قوم سے کہا اے میری قوم بے شک تم نے بچھڑا بنا کر اپنی جانوں پر ظلم کیا سو اپنے پیدا کرنے والے کے آگے توبہ کرو پھر اپنے آپ کو قتل کرو تمہارے لیے تمہارے خالق کے نزدیک یہی بہتر ہے پھر اس نے تمہاری توبہ قبول کر لی بے شک وہی بڑا توبہ قبول کرنے والا نہایت رحم والا ہے
URAA62,QA62,URAA,62,اور جب تم نے کہا اے موسیٰ ہم ہرگز تیرا یقین نہیں کریں گے جب تک کہ روبرو الله کو دیکھ نہ لیں تب تمہیں بجلی نے دیکھتے ہی دیکھتے آ لیا
URAA63,QA63,URAA,63,پھر ہم نے تمہیں تمہاری موت کے بعد زندہ کر اٹھایا تاکہ تم شکر کرو
URAA64,QA64,URAA,64,اور ہم نے تم پر ابر کا سایہ کیا اور تم پر من اور سلویٰ اتارا جو کچھ ہم نے تمہیں پاکیزہ چیزیں عطا کی ہیں ان میں سے کھاؤ اور انہوں نے ہمارا کچھ نقصان نہ کیا بلکہ اپنا ہی نقصان کرتے رہے
URAA65,QA65,URAA,65,اور جب ہم نے کہا اس شہر میں داخل ہو جاؤ پھر اس میں جہاں سے چاہو بے تکلفی سے کھاؤ اور دروازہ میں سجدہ کرتے ہوئے داخل ہو اور کہتے جاؤ بخش دے تو ہم تمہارے قصور معاف کر دیں گے اور نیکی کرنے والوں کو زیادہ بھی دیں گے
URAA66,QA66,URAA,66,پھر ظالموں نے بدل ڈالا کلمہ سوائے اس کے جو انہیں کہا گیا تھا سو ہم نے ان ظالموں پر ان کی نافرمانی کی وجہ سے آسمان سے عذاب نازل کیا
URAA67,QA67,URAA,67,پھر جب موسیٰ نے اپنی قوم کے لیے پانی مانگا تو ہم نے کہا اپنے عصا کو پتھر پر مار سو اس سے بارہ چشمے بہہ نکلے ہر قوم نے اپنا گھاٹ پہچان لیا الله کے دیئے ہوئے رزق میں سے کھاؤ پیو اور زمین میں فساد مچاتےنہ پھرو
URAA68,QA68,URAA,68,اور جب تم نے کہا اے موسیٰ ہم ایک ہی طرح کے کھانے پر ہرگز صبر نہ کریں گے سو ہمارے لیے اپنے رب سے دعا مانگ کہ وہ ہمارے لیے زمین کی پیداوار میں سے ساگ اور ککڑی اور گیہوں اور مسور اور پیاز پیدا کر دے کہا کیا تم اس چیز کو لینا چاہتے ہو جو ادنیٰ ہے بدلہ اس کے جو بہتر ہے کسی شہر میں اُترو بے شک جو تم مانگتے ہو تمہیں ملے گا اور ان پر ذلت اور محتاجی ڈال دی گئی اور انہوں نے غضب الہیٰ کمایا یہ اس لیے کہ وہ الله کی نشانیوں کا انکار کرتے تھے اور نبیوں کو ناحق قتل کرتے تھے یہ اس لیے کہ نافرمان تھے اور حد سے بڑھ جاتے تھے
URAA69,QA69,URAA,69,جو کوئی مسلمان اور یہودی اور نصرانی اورصابئی الله اور قیامت کے دن پر ایمان لائے اور اچھے کام بھی کرے تو ان کا اجر ان کے رب کے ہاں موجود ہے اور ان پر نہ کچھ خوف ہو گا اور نہ وہ غمگین ہوں گے
URAA70,QA70,URAA,70,اور جب ہم نے تم سے عہد لیا اور تم پر کوہِ طور بلند کیا جو کچھ ہم نے تمہیں دیا ہے اسے مضبوط پکڑو اور جو کچھ اس میں ہے اسے یاد رکھو تاکہ تم پرہیزگار ہو جاؤ
URAA71,QA71,URAA,71,پھر تم اس کے بعد پھر گئے سو اگر تم پر الله کا فضل اور اس کی رحمت نہ ہوتی تو تم تباہ ہوجاتے
URAA72,QA72,URAA,72,اور بے شک تمہیں وہ لوگ بھی معلوم ہیں جنہوں نے تم میں سے ہفتہ کے دن زیادتی کی تھی پھر ہم نے ان سے کہا تم ذلیل بندر ہو جاؤ
URAA73,QA73,URAA,73,پھر ہم نے اس واقعہ کو اس زمانہ کے لوگوں کے لیے اور ان سے پچھلوں کے لیے عبرت اور پرہیز گاروں کے لیے نصیحت بنا دیا
URAA74,QA74,URAA,74,اور جب موسیٰ نے اپنی قوم سے کہا کہ الله تمہیں حکم دیتا ہے کہ ایک گائے ذبح کرو انہوں نے کہا کیا تم ہم سے ہنسی کرتا ہے کہا میں الله کی پناہ مانگتا ہوں اس سے کہ جاہلوں میں سے ہوں
URAA75,QA75,URAA,75,انہوں نے کہا ہمارے لیے اپنے رب سے دعا کر ہمیں بتائے کہ وہ گائے کیسی ہے کہا وہ فرماتا ہے کہ وہ ایک ایسی گائے ہے نہ بوڑھی اور نہ بچہ اس کے درمیان ہے پس کر ڈالو جو تمہیں حکم دیا جاتا ہے
URAA76,QA76,URAA,76,انہوں نے کہا ہمارے لیے اپنے رب سے دعا کر کہ ہمیں بتائے اس کا رنگ کیسا ہےکہاوہ فرماتا ہے کہ وہ ایک زرد گائے ہے اس کا رنگ خوب گہراہے دیکھنے والوں کو بھلی معلوم ہوتی ہے
URAA77,QA77,URAA,77,انہوں نے کہا ہمارے لیے اپنے رب سے دعا کر ہمیں بتائے کہ وہ کس قسم کی ہے کیوں کہ وہ گائے ہم پر مشتبہ ہو گئی ہے اور ہم اگر الله نے چاہا تو ضرور پتہ لگا لیں گے
URAA78,QA78,URAA,78,کہا و ہ فرماتا ہے کہ وہ ایک ایسی گائے ہے محنت کرنے والی نہیں جو زمین کو جوتتی ہو یا کھیتی کو پانی دیتی ہو بے عیب ہے اس میں کوئي داغ نہیں انہوں نے کہا اب تو نے ٹھیک بات بتائی پھر انہوں نے اسے ذبح کر دیا اور وہ کرنے والے تو نہیں تھے
URAA79,QA79,URAA,79,اور جب تم ایک شخص قتل کر کے اس میں جھگڑنے لگے اور الله ظاہر کرنے والا تھا اس چیز کو جسے تم چھپاتے تھے
URAA80,QA80,URAA,80,پھر ہم نے کہا اس مردہ پر اس گائے کا ایک ٹکڑا مارو اسی طرح الله مردوں کو زندہ کرے گا اور تمہیں اپنی قدرت کی نشانیاں دکھاتا ہے تاکہ تم سمجھو
URAA81,QA81,URAA,81,پھر ا سکے بعد تمہارے دل سخت ہو گئے گویا کہ وہ پتھر ہیں یا ان سے بھی زیادہ سخت اور بعض پتھر تو ایسے بھی ہیں جن سے نہریں پھوٹ کر نکلتی ہیں اور بعض ایسے بھی ہیں جو پھٹتے ہیں پھر ان سے پانی نکلتا ہے اور بعض ایسے بھی ہیں جو الله کے ڈر سے گر پڑتے ہیں اور الله تمہارے کاموں سے بے خبر نہیں
URAA82,QA82,URAA,82,کیا تمہیں امید ہے کہ یہود تمہارے کہنے پر ایمان لے آئیں گے حالانکہ ان میں ایک ایسا گروہ بھی گزرا ہے جو الله کا کلام سنتا تھا پھر اسے سمجھنے کے بعد جان بوجھ کر بدل ڈالتا تھا
URAA83,QA83,URAA,83,اور جب وہ ان لوگوں سے ملتے ہیں جو ایمان لاچکے ہیں تو کہتے ہیں ہم بھی ایمان لے آئےہیں اور جب وہ ایک دوسرے کے پاس علیحدٰہ ہوتے ہیں تو کہتے ہیں کیا تم انہیں وہ راز بتا دیتےہو جو الله نے تم پر کھولے ہیں تاکہ وہ اس سے تمہیں تمہارے رب کے روبرو الزام دیں کیا تم نہیں سمجھتے
URAA84,QA84,URAA,84,کیا وہ نہیں جانتے کہ الله جانتا ہے جو وہ چھپاتے ہیں اور جو وہ ظاہر کرتے ہیں
URAA85,QA85,URAA,85,اور بعض ان میں سے ان پڑھ ہیں جو کتاب نہیں جانتے سوائے جھوٹی آرزوؤں کے اور وہ محض اٹکل پچو باتیں بناتے ہیں
URAA86,QA86,URAA,86,سو افسوس ہے ان لوگوں پر جو اپنے ہاتھوں سے لکھتے ہیں پھر کہتے ہیں کہ یہ الله کی طرف سے ہے تاکہ اس سے کچھ روپیہ کمائیں پھر افسوس ہے ان کے ہاتھوں کے لکھنے پر اور افسوس ہے ان کی کمائی ہر
URAA87,QA87,URAA,87,اور کہتے ہیں ہمیں سوائے چند گنتی کے دنوں کے آگ نہیں چھوٹے گی کہہ دو کیا تم نے الله سے کوئی عہدلےلیا ہے کہ ہر گز الله اپنے عہد کا خلاف نہیں کرے گا یا تم الله پر وہ باتیں کہتے ہو جو تم نہیں جانتے
URAA88,QA88,URAA,88,ہاں جس نے کوئی گناہ کیا اور اسے اس کے گناہ نے گھیر لیا سو وہی دوزخی ہیں وہ اس میں ہمیشہ رہیں گے
URAA89,QA89,URAA,89,اور جو لوگ ایمان لائے اور نیک کام کئے وہی بہشتی ہیں وہ اس میں ہمیشہ رہیں گے
URAA90,QA90,URAA,90,اور جب ہم نے بنی اسرائیل سے عہد لیا کہ الله کے سوا کسی کی عبادت نہ کرنا اور ماں باپ اور رشتہ داروں اور یتیموں اور محتاجوں سے اچھا سلوک کرنا اور لوگوں سے اچھی بات کہنا اور نماز قائم کرنا اور زکوةٰ دینا پھر سوائے چند آدمیوں کے تم میں سے سب منہ موڑ کر پھر گئے
URAA91,QA91,URAA,91,اور جب ہم نے تم سے عہد لیا کہ آپس میں خونریزی نہ کرنا اور نہ اپنے لوگوں کو جلا وطن کرنا پھر تم نے اقرار کیا اور تم خود گواہ ہو
URAA92,QA92,URAA,92,پھر تم ہی وہ ہو کہ اپنے لوگوں کو قتل کرتے ہو اور ایک جماعت کو اپنے میں سے ان کے گھروں میں سے نکالتے ہو ان پر گناہ اور ظلم سے چڑھائی کرتے ہو اور اگر وہ تمہارے پاس قیدی ہو کر آئیں تو ان کا تاوان دیتے ہو حالانکہ تم پر ان کا نکالنا بھی حرام تھا کیا تم کتاب کے ایک حصہ پرایمان رکھتے ہو اور دوسرے حصہ کا انکار کرتے ہو پھرجو تم میں سے ایسا کرے اس کی یہی سزا ہے کہ دنیا میں ذلیل ہو اور قیامت کے دن بھی سخت عذاب میں دھکیلے جائیں اور الله اس سے بے خبر نہیں جو تم کرتے ہو
URAA93,QA93,URAA,93,یہی وہ لوگ ہیں جنہوں نے دنیا کی زندگی کو آخرت کے بدلہ خریدا سو ان سے عذاب ہلکانہ کیا جائے گا اور نہ انہیں کوئی مدد مل سکے گی
URAA94,QA94,URAA,94,اور بے شک ہم نے موسیٰ کو کتاب دی اور اس کے بعد بھی پے در پے رسول بھیجتے رہے اور ہم نے عیسیٰ مریم کے بیٹے کو نشانیاں دیں اور روح لقدس سے اس کی تائید کی کیا جب تمہارے پاس کوئی وہ حکم لایا جسے تمہارے دل نہیں چاہتے تھے تو تم اکڑ بیٹھے پھر ایک جماعت کو تم نے جھٹلایا اور ایک جماعت کو قتل کیا
URAA95,QA95,URAA,95,اور کہتے ہیں ہمارے دلوں پر غلاف ہیں بلکہ الله نے ان کے کفر کے سبب سے لعنت کی ہے سو بہت ہی کم ایمان لاتے ہیں
URAA96,QA96,URAA,96,اور جب ان کے پاس اللہ کی طرف سے کتاب آئی جو تصدیق کرتی ہے اس کی جو ان کے پاس ہے اور اس سے پہلے وہ کفار پر فتح مانگا کرتے تھے پھر جب ان کے پاس وہ چیز آئی جسے انہوں نے پہچان لیا تو اس کا انکارکیاسوکافروں پر الله کی لعنت ہے
URAA97,QA97,URAA,97,انہوں نے اپنی جانوں کو بہت ہی بری چیز کے لیے بیچ ڈالا یہ کہ الله کی نازل کی ہوئی چیزوں کا اس ضد میں آ کر انکار کرنے لگے کہ وہ پنے فضل کو اپنے بندوں میں سے جس پر چاہتا ہے کیوں نازل کر دیتا ہے سوغضب پر غضب میں آ گئے اور کافروں کے لیے ذلت کا عذاب ہے
URAA98,QA98,URAA,98,اورجب ان سے کہا جاتا ہے کہ اس پر ایمان لاؤ جو الله نے نازل کیا ہے تو کہتے ہیں ہم تو اسی کو مانتے ہیں جو ہم پر اترا ہے اور اسے نہیں مانتے ہیں جو اس کے سوا ہے حالانکہ وہ حق ہے اور تصدیق کرنے والی ہے جو ان کے پاس ہے کہہ دو پھر تم کیوں اس سے پہلے الله کے نبیوں کو قتل کرتے رہے اگر تم مومن تھے
URAA99,QA99,URAA,99,اور تمہارے پاس موسیٰ صریح معجزے لے کر آیا پھر تم نے اس کے بعد بچھڑے کو بنالیا اور تم ظالم تھے
URAA100,QA100,URAA,100,اور جب ہم نے تم سے عہد لیا اور تم پر کوہِ طورکو اٹھایا کہ جو ہم نے تمہیں دیا ہے اسے مضبوطی سے پکڑو اور سنو انہوں نے کہا ہم نے سن لیا اور مانیں گے نہیں اور ان کے دلوں میں کفر کی وجہ سے بچھڑے کی محبت رچ گئی تھی کہہ دو اگر تم ایمان دار ہو تو تمہارا ایمان تمہیں بہت ہی برا حکم دے رہا ہے
URAA101,QA101,URAA,101,کہہ دو اگر الله کے نزدیک آخرت کا گھر خصوصیت کے ساتھ سوائے اور لوگوں کے تمہارے ہی لئے ہے تو تم موت کی آرزو کرو اگر تم سچے ہو
URAA102,QA102,URAA,102,وہ کبھی بھی اس کی ہر گز آرزو نہیں کریں گے ان گناہوں کی وجہ سے جو ان کے ہاتھ آگے بھیج چکے ہیں اور الله ظالموں کو خوب جانتا ہے
URAA103,QA103,URAA,103,اور آپ انہیں زندگی پر سب لوگوں سے زيادہ حریص پائیں گے اور ان سے بھی جو مشرک ہیں ہرایک ان میں سے چاہتا ہے کہ کاش اسے ہزار برس عمرملے اور اسے عمر کا ملنا عذاب سے بچانے والا نہیں اور الله دیکھتا ہے جو وہ کرتے ہیں
URAA104,QA104,URAA,104,کہہ دوجو کوئی جبرائیل کا دشمن ہو سواسی نے اتاراہے وہ قرآن اللہ کے حکم سے آپ کے دل پر ان کی تصدیق کرتا ہے جو اس سے پہلے ہیں اور ایمان والوں کے لئے ہدایت اور خوشخبری ہے
URAA105,QA105,URAA,105,جو شخص اللہ اور اس کے فرشتوں اور اس کے رسولوں اور جبرائیل اور میکائیل کا دشمن ہو تو بیشک اللہ بھی ان کافروں کا دشمن ہے
URAA106,QA106,URAA,106,اور ہم نے آپ کی طرف روشن آیتیں اتاری ہیں اور ان سے انکاری نہیں مگر فاسق
URAA107,QA107,URAA,107,کیا جب کبھی انہوں نے کوئی عہد باندھا تو اسے ان میں سے ایک جماعت نے پھینک دیا بلکہ ان میں سے اکثرایمان ہی نہیں رکھتے
URAA108,QA108,URAA,108,اور جب ان کے پاس الله کی طرف سے وہ رسول آیا جو اس کی تصدیق کرتا ہے جو ان کے پا س ہے تو اہلِ کتاب کی ایک جماعت نے الله کی کتاب کو اپنی پیٹھ کے پیچھے ایسا پھینکا کہ گویا اسے جانتے ہی نہیں
